Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
RACK4I0000092,1,1,18,2,192
RACK4I0000120,1,1,18,2,192
RACK4I0000161,1,1,18,2,192
RACK4I0000246,1,1,18,2,192
RACK4I0000362,1,1,18,2,192
RACK4I0000365,1,1,18,2,192
RACK4I0000095,2,1,18,2,192
RACK4I0000122,2,1,18,2,192
RACK4I0000178,2,1,18,2,192
RACK4I0000343,2,1,18,2,192
RACK4I0000382,2,1,18,2,192
RACK4I0000048,3,1,18,2,192
RACK4I0000113,3,1,18,2,192
RACK4I0000141,3,1,18,2,192
RACK4I0000255,3,1,18,2,192
RACK4I0000280,3,1,18,2,192
RACK4I0000058,66,1,18,2,192
RACK4I0000038,95,1,18,2,192

RACK4I0000199,4,2,18,2,192
RACK4I0000300,4,2,18,2,192
RACK4I0000349,4,2,18,2,192
RACK4I0000045,5,2,18,2,192
RACK4I0000074,5,2,18,2,192
RACK4I0000143,5,2,18,2,192
RACK4I0000150,5,2,18,2,192
RACK4I0000224,5,2,18,2,192
RACK4I0000298,5,2,18,2,192
RACK4I0000303,5,2,18,2,192
RACK4I0000316,5,2,18,2,192
RACK4I0000106,6,2,18,2,192
RACK4I0000299,6,2,18,2,192
RACK4I0000206,7,2,18,2,192
RACK4I0000229,7,2,18,2,192
RACK4I0000245,7,2,18,2,192
RACK4I0000069,12,2,18,2,192
RACK4I0000059,95,2,18,2,192

RACK4I0000251,7,3,17,3,288
RACK4I0000305,7,3,17,3,288
RACK4I0000065,8,3,17,3,288
RACK4I0000217,8,3,17,3,288
RACK4I0000244,8,3,17,3,288
RACK4I0000333,8,3,17,3,288
RACK4I0000348,8,3,17,3,288
RACK4I0000173,9,3,17,3,288
RACK4I0000203,9,3,17,3,288
RACK4I0000291,9,3,17,3,288
RACK4I0000103,10,3,17,3,288
RACK4I0000126,10,3,17,3,288
RACK4I0000147,10,3,17,3,288
RACK4I0000182,10,3,17,3,288
RACK4I0000216,10,3,17,3,288
RACK4I0000020,62,3,17,3,288
RACK4I0000104,95,3,17,3,288

RACK4I0000399,7,4,17,3,288
RACK4I0000345,10,4,17,3,288
RACK4I0000355,10,4,17,3,288
RACK4I0000063,11,4,17,3,288
RACK4I0000310,11,4,17,3,288
