Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
RACK5I0000054,1,1,17,3,195
RACK5I0000109,1,1,17,3,195
RACK5I0000264,1,1,17,3,195
RACK5I0000206,2,1,17,3,195
RACK5I0000175,4,1,17,3,195
RACK5I0000362,5,1,17,3,195
RACK5I0000390,5,1,17,3,195
RACK5I0000131,6,1,17,3,195
RACK5I0000265,6,1,17,3,195
RACK5I0000105,7,1,17,3,195
RACK5I0000224,7,1,17,3,195
RACK5I0000071,9,1,17,3,195
RACK5I0000293,9,1,17,3,195
RACK5I0000018,12,1,17,3,195
RACK5I0000261,12,1,17,3,195
RACK5I0000078,13,1,17,3,195
RACK5I0000003,95,1,17,3,195

RACK5I0000188,13,2,15,4,365
RACK5I0000101,14,2,15,4,365
RACK5I0000090,15,2,15,4,365
RACK5I0000116,15,2,15,4,365
RACK5I0000184,16,2,15,4,365
RACK5I0000035,17,2,15,4,365
RACK5I0000287,17,2,15,4,365
RACK5I0000312,21,2,15,4,365
RACK5I0000351,21,2,15,4,365
RACK5I0000377,22,2,15,4,365
RACK5I0000033,24,2,15,4,365
RACK5I0000142,25,2,15,4,365
RACK5I0000222,25,2,15,4,365
RACK5I0000237,25,2,15,4,365
RACK5I0000005,95,2,15,4,365

RACK5I0000316,28,3,14,6,516
RACK5I0000352,29,3,14,6,516
RACK5I0000051,30,3,14,6,516
RACK5I0000171,30,3,14,6,516
RACK5I0000231,32,3,14,6,516
RACK5I0000269,32,3,14,6,516
RACK5I0000333,32,3,14,6,516
RACK5I0000245,33,3,14,6,516
RACK5I0000179,34,3,14,6,516
RACK5I0000346,34,3,14,6,516
RACK5I0000129,35,3,14,6,516
RACK5I0000044,36,3,14,6,516
RACK5I0000299,36,3,14,6,516
RACK5I0000012,95,3,14,6,516

RACK5I0000047,39,4,13,7,595
RACK5I0000098,39,4,13,7,595
RACK5I0000363,39,4,13,7,595
RACK5I0000209,40,4,13,7,595
RACK5I0000229,41,4,13,7,595
RACK5I0000328,42,4,13,7,595
RACK5I0000330,42,4,13,7,595
RACK5I0000152,43,4,13,7,595
RACK5I0000257,43,4,13,7,595
RACK5I0000015,44,4,13,7,595
RACK5I0000117,44,4,13,7,595
RACK5I0000227,44,4,13,7,595
RACK5I0000017,95,4,13,7,595

RACK5I0000294,45,5,13,7,655
RACK5I0000369,45,5,13,7,655
RACK5I0000010,46,5,13,7,655
RACK5I0000111,46,5,13,7,655
RACK5I0000060,47,5,13,7,655
RACK5I0000067,47,5,13,7,655
RACK5I0000083,47,5,13,7,655
RACK5I0000126,47,5,13,7,655
RACK5I0000138,47,5,13,7,655
RACK5I0000375,47,5,13,7,655
RACK5I0000102,48,5,13,7,655
RACK5I0000337,48,5,13,7,655
RACK5I0000019,95,5,13,7,655

RACK5I0000055,50,6,12,8,768
RACK5I0000200,50,6,12,8,768
RACK5I0000213,50,6,12,8,768
RACK5I0000292,50,6,12,8,768
RACK5I0000013,51,6,12,8,768
RACK5I0000128,51,6,12,8,768
RACK5I0000141,51,6,12,8,768
RACK5I0000136,52,6,12,8,768
RACK5I0000008,78,6,12,8,768
RACK5I0000032,95,6,12,8,768
RACK5I0000037,95,6,12,8,768
RACK5I0000064,95,6,12,8,768

RACK5I0000305,52,7,12,8,768
RACK5I0000113,53,7,12,8,768
RACK5I0000183,54,7,12,8,768
RACK5I0000053,55,7,12,8,768
RACK5I0000087,55,7,12,8,768
RACK5I0000036,56,7,12,8,768
RACK5I0000130,56,7,12,8,768
RACK5I0000197,57,7,12,8,768
RACK5I0000119,58,7,12,8,768
RACK5I0000016,82,7,12,8,768
RACK5I0000065,95,7,12,8,768
RACK5I0000079,95,7,12,8,768

RACK5I0000315,58,8,12,8,765
RACK5I0000272,59,8,12,8,765
RACK5I0000106,60,8,12,8,765
RACK5I0000336,60,8,12,8,765
RACK5I0000052,61,8,12,8,765
RACK5I0000094,61,8,12,8,765
RACK5I0000371,61,8,12,8,765
RACK5I0000137,62,8,12,8,765
RACK5I0000254,62,8,12,8,765
RACK5I0000034,63,8,12,8,765
RACK5I0000046,63,8,12,8,765
RACK5I0000103,95,8,12,8,765

RACK5I0000059,63,9,11,9,825
RACK5I0000221,63,9,11,9,825
RACK5I0000225,63,9,11,9,825
RACK5I0000024,64,9,11,9,825
RACK5I0000074,64,9,11,9,825
RACK5I0000134,64,9,11,9,825
RACK5I0000306,65,9,11,9,825
RACK5I0000004,94,9,11,9,825
RACK5I0000108,95,9,11,9,825
RACK5I0000114,95,9,11,9,825
RACK5I0000144,95,9,11,9,825

RACK5I0000042,66,10,11,9,843
RACK5I0000093,66,10,11,9,843
RACK5I0000095,66,10,11,9,843
RACK5I0000161,66,10,11,9,843
RACK5I0000314,66,10,11,9,843
RACK5I0000076,67,10,11,9,843
RACK5I0000145,67,10,11,9,843
RACK5I0000023,94,10,11,9,843
RACK5I0000151,95,10,11,9,843
RACK5I0000153,95,10,11,9,843
RACK5I0000166,95,10,11,9,843

RACK5I0000112,68,11,11,9,864
RACK5I0000110,69,11,11,9,864
RACK5I0000058,70,11,11,9,864
RACK5I0000165,70,11,11,9,864
RACK5I0000011,71,11,11,9,864
RACK5I0000091,71,11,11,9,864
RACK5I0000002,72,11,11,9,864
RACK5I0000001,88,11,11,9,864
RACK5I0000168,95,11,11,9,864
RACK5I0000176,95,11,11,9,864
RACK5I0000178,95,11,11,9,864

RACK5I0000301,71,12,11,9,864
RACK5I0000075,72,12,11,9,864
RACK5I0000249,72,12,11,9,864
RACK5I0000344,72,12,11,9,864
RACK5I0000045,73,12,11,9,864
RACK5I0000068,73,12,11,9,864
RACK5I0000163,73,12,11,9,864
RACK5I0000253,73,12,11,9,864
RACK5I0000182,95,12,11,9,864
RACK5I0000191,95,12,11,9,864
RACK5I0000193,95,12,11,9,864

RACK5I0000173,69,13,11,9,864
RACK5I0000317,70,13,11,9,864
RACK5I0000283,73,13,11,9,864
RACK5I0000120,74,13,11,9,864
RACK5I0000198,74,13,11,9,864
RACK5I0000322,74,13,11,9,864
RACK5I0000358,74,13,11,9,864
RACK5I0000050,75,13,11,9,864
RACK5I0000014,91,13,11,9,864
RACK5I0000196,95,13,11,9,864
RACK5I0000199,95,13,11,9,864

RACK5I0000327,67,14,11,9,864
RACK5I0000115,68,14,11,9,864
RACK5I0000146,75,14,11,9,864
RACK5I0000232,75,14,11,9,864
RACK5I0000270,75,14,11,9,864
RACK5I0000393,75,14,11,9,864
RACK5I0000203,76,14,11,9,864
RACK5I0000359,76,14,11,9,864
