Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
025DNA0000369,4,1,18,2,192
025DNA0000657,4,1,18,2,192
025DNA0000676,4,1,18,2,192
025DNA0000775,4,1,18,2,192
025DNA0002003,4,1,18,2,192
025DNA0002098,4,1,18,2,192
025DNA0002141,4,1,18,2,192
025DNA0002371,4,1,18,2,192
025DNA0002386,4,1,18,2,192
025DNA0002453,4,1,18,2,192
025DNA0002501,4,1,18,2,192
025DNA0002586,4,1,18,2,192
025DNA0002636,4,1,18,2,192
025DNA0000563,5,1,18,2,192
025DNA0002388,5,1,18,2,192
025DNA0002011,6,1,18,2,192
025DNA0000622,30,1,18,2,192
025DNA0000637,94,1,18,2,192

025DNA0002639,4,2,18,2,192
025DNA0002918,4,2,18,2,192
025DNA0002967,4,2,18,2,192
025DNA0003037,4,2,18,2,192
025DNA0002460,5,2,18,2,192
025DNA0002561,5,2,18,2,192
025DNA0002582,5,2,18,2,192
025DNA0003000,5,2,18,2,192
025DNA0002067,6,2,18,2,192
025DNA0002446,6,2,18,2,192
025DNA0002464,6,2,18,2,192
025DNA0002559,6,2,18,2,192
025DNA0003002,6,2,18,2,192
025DNA0003040,6,2,18,2,192
025DNA0002621,8,2,18,2,192
025DNA0002369,9,2,18,2,192
025DNA0002387,13,2,18,2,192
025DNA0002445,90,2,18,2,192

025DNA0003038,4,3,17,3,267
025DNA0002917,8,3,17,3,267
025DNA0003013,8,3,17,3,267
025DNA0002384,9,3,17,3,267
025DNA0002389,9,3,17,3,267
025DNA0002463,9,3,17,3,267
025DNA0000639,10,3,17,3,267
025DNA0002645,10,3,17,3,267
025DNA0002366,12,3,17,3,267
025DNA0002641,12,3,17,3,267
025DNA0000647,14,3,17,3,267
025DNA0002093,14,3,17,3,267
025DNA0002672,14,3,17,3,267
025DNA0002377,15,3,17,3,267
025DNA0003043,18,3,17,3,267
025DNA0002391,19,3,17,3,267
025DNA0001110,82,3,17,3,267

025DNA0001096,22,4,14,6,499
025DNA0002540,22,4,14,6,499
025DNA0002564,24,4,14,6,499
025DNA0000621,26,4,14,6,499
025DNA0000643,28,4,14,6,499
025DNA0000630,29,4,14,6,499
025DNA0003044,29,4,14,6,499
025DNA0002082,32,4,14,6,499
025DNA0002322,34,4,14,6,499
025DNA0000511,36,4,14,6,499
025DNA0002999,41,4,14,6,499
025DNA0000632,48,4,14,6,499
025DNA0003048,48,4,14,6,499
025DNA0001098,80,4,14,6,499

025DNA0000641,52,5,10,7,648
025DNA0002323,55,5,10,7,648
025DNA0002538,61,5,10,7,648
025DNA0002946,62,5,10,7,648
025DNA0003036,63,5,10,7,648
025DNA0000631,67,5,10,7,648
025DNA0000648,67,5,10,7,648
025DNA0002994,70,5,10,7,648
025DNA0000646,72,5,10,7,648
025DNA0000634,79,5,10,7,648


