Rack ID,Sample Number,Batch Number,Number Sources,Number Destinations,Total Samples In Batch
SAMPLEID1,2,1,18,2,192
SAMPLEID4,2,1,18,2,192
SAMPLEID8,2,1,18,2,192
SAMPLEID13,2,1,18,2,192
SAMPLEID17,2,1,18,2,192
SAMPLEID21,2,1,18,2,192
SAMPLEID25,2,1,18,2,192
SAMPLEID29,2,1,18,2,192
SAMPLEID32,2,1,18,2,192
SAMPLEID36,2,1,18,2,192
SAMPLEID40,2,1,18,2,192
SAMPLEID44,2,1,18,2,192
SAMPLEID47,2,1,18,2,192
SAMPLEID51,2,1,18,2,192
SAMPLEID55,2,1,18,2,192
SAMPLEID59,2,1,18,2,192
SAMPLEID903,64,1,18,2,192
SAMPLEID1021,96,1,18,2,192

SAMPLEID62,2,2,18,2,192
SAMPLEID66,2,2,18,2,192
SAMPLEID70,2,2,18,2,192
SAMPLEID74,2,2,18,2,192
SAMPLEID77,2,2,18,2,192
SAMPLEID81,2,2,18,2,192
SAMPLEID85,2,2,18,2,192
SAMPLEID89,2,2,18,2,192
SAMPLEID92,2,2,18,2,192
SAMPLEID96,2,2,18,2,192
SAMPLEID100,2,2,18,2,192
SAMPLEID104,2,2,18,2,192
SAMPLEID107,2,2,18,2,192
SAMPLEID111,2,2,18,2,192
SAMPLEID115,2,2,18,2,192
SAMPLEID119,2,2,18,2,192
SAMPLEID952,67,2,18,2,192
SAMPLEID1020,93,2,18,2,192

SAMPLEID122,2,3,18,2,192
SAMPLEID126,2,3,18,2,192
SAMPLEID130,2,3,18,2,192
SAMPLEID134,2,3,18,2,192
SAMPLEID137,2,3,18,2,192
SAMPLEID141,2,3,18,2,192
SAMPLEID145,2,3,18,2,192
SAMPLEID149,2,3,18,2,192
SAMPLEID152,2,3,18,2,192
SAMPLEID156,2,3,18,2,192
SAMPLEID160,2,3,18,2,192
SAMPLEID164,2,3,18,2,192
SAMPLEID167,2,3,18,2,192
SAMPLEID171,2,3,18,2,192
SAMPLEID175,2,3,18,2,192
SAMPLEID179,2,3,18,2,192
SAMPLEID953,68,3,18,2,192
SAMPLEID1019,92,3,18,2,192

SAMPLEID182,2,4,18,2,192
SAMPLEID186,2,4,18,2,192
SAMPLEID190,2,4,18,2,192
SAMPLEID194,2,4,18,2,192
SAMPLEID197,2,4,18,2,192
SAMPLEID2,3,4,18,2,192
SAMPLEID6,3,4,18,2,192
SAMPLEID9,3,4,18,2,192
SAMPLEID12,3,4,18,2,192
SAMPLEID16,3,4,18,2,192
SAMPLEID19,3,4,18,2,192
SAMPLEID23,3,4,18,2,192
SAMPLEID26,3,4,18,2,192
SAMPLEID30,3,4,18,2,192
SAMPLEID34,3,4,18,2,192
SAMPLEID37,3,4,18,2,192
SAMPLEID851,58,4,18,2,192
SAMPLEID1018,91,4,18,2,192

SAMPLEID41,3,5,18,2,192
SAMPLEID45,3,5,18,2,192
SAMPLEID49,3,5,18,2,192
SAMPLEID52,3,5,18,2,192
SAMPLEID56,3,5,18,2,192
SAMPLEID60,3,5,18,2,192
SAMPLEID64,3,5,18,2,192
SAMPLEID67,3,5,18,2,192
SAMPLEID71,3,5,18,2,192
SAMPLEID75,3,5,18,2,192
SAMPLEID79,3,5,18,2,192
SAMPLEID82,3,5,18,2,192
SAMPLEID86,3,5,18,2,192
SAMPLEID90,3,5,18,2,192
SAMPLEID94,3,5,18,2,192
SAMPLEID3,4,5,18,2,192
SAMPLEID755,53,5,18,2,192
SAMPLEID1017,90,5,18,2,192

SAMPLEID97,3,6,18,2,192
SAMPLEID101,3,6,18,2,192
SAMPLEID105,3,6,18,2,192
